tid,text,lang,aggression_level
anon_96752f0608af,@USER বামপন্থিরা একধরনের মানুষ ওদের বিরুদ্ধে কোনো কথা যদি বলা হয়ে আর যদি ওরা উত্তর দিতে না পারে তাহলে তুমি মূর্খ তুমি শিক্ষিত না 😂😂। আজব লজিক দেয় এরা যেনো এরাই সব জানে আর কেউ কিছু জানে না ভারত কে যেনো সাধিন এরাই করছে।,BN,CAG
anon_039b598aac0d,মোদী সরকারের অদূরদর্শিতার কারণে রাশিয়া ইউক্রেন ঝামেলায় প্রাণ গেল কর্ণাটকের চতুর্থ বর্ষের মেডিক্যাল ছাত্র নবীনের। @USER #FAM4TMC URL,BN,CAG
anon_1c596d6658b2,নাম না করে প্রবল সমালোচনায় মমতা #MamataBanerjee #NupurSharma #tmc #bjp URL,BN,CAG
anon_052efaa17161,"@USER @USER @USER বাংলায় শ্লোগান ধার কোন করা রাজনৈতিক দলে নেত্রী,বর্তমানে এদের বেশির ভাগ নেতা মন্ত্রীরা একের পর এক দুর্নীতিতে অভিযুক্ত হয়ে সিবিআইয়ের দুযারে ঘুড়ে বেরাচ্ছেন বলেই ভাবছেন দুর্নীতিকে বিশ্বের দরবারে নিয়ে প্রথম স্থ",BN,CAG
anon_d8ad9beba48d,@USER @USER @USER মিথ্যেবাদী হলে তার কোনো কথা আপনি বিশ্বাস করছেন কীভাবে?,BN,CAG
anon_46bcb8f7477c,"পুরভোটের ফল প্রকাশ হতেই তৃণমূলের হিংসা শুরু বিজেপি সমর্থকদের দোকানে হামলা ভাঙচুর ! নির্বাচনে জিততে সন্ত্রাস, নির্বাচন জিতে হিংসা বাংলায় গণতন্ত্রকে খুন করেছেন মমতা ! @USER URL",BN,CAG
anon_e286a04b20bc,"'যখন তখন বসে পড়ছে; ফেল করেছি, ওঠাতে হবে! এ আবার কী?' এটা ওদের দোষ নয়। সব বিজেপির চক্রান্ত।",BN,CAG
anon_e48382353dc6,"গোয়াতে গোমন্ত্রক পাৰ্টি এগিয়ে আছে ৫ টা আসনে, কিন্তু বাংলার মিডিয়া বলছে TMC জোট এগিয়ে আছে ৫টা আসনে। চটিচাটার কি মহিমা !!! @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER",BN,CAG
anon_0a5052334511,"প্রয়াত গীতশ্রী সন্ধ্যা মুখোপাধ্যায়।😓 আমাদের জেনারেশনের ছেলেমেয়েরা তো কথা বলা শেখারও আগে থেকে ওঁর গান শুনেছে, বাংলার মহিলা সঙ্গীত শিল্পীগণের মধ্যে তিনিই যে সর্বাগ্রগণ্যা। একজন একান্ত সঙ্গীতানুরাগী হিসেবে,এ সংবাদ বড় বেদনাদায়ক। ওঁর আত্মার শান্তি কামনা",BN,NAG
anon_e23330785f49,এই ভাষার জন্য রাজেশ তাপস বুকে গুলি নিয়েছিল। আজ ভাষা দিবসে তাদের স্মরণ না করলে দিনটিই বৃথা। URL,BN,NAG
